text,label_text,language,source,label
دختراا قربون کلفتم برید 🙌,sensitive,fa,phicad,1
RT @__thaRealist: @Dono_44 yea that hoe was rocking Friday and last night,sensitive,en,hate_speech_offensive,1
جان من باهم فیت بدین,safe,fa,phicad,0
"@JusDahl I want some.....I'm so damn tired of being in the fucking kitchen, a bitch is hot and needs a glass of wine and a back rub",sensitive,en,hate_speech_offensive,1
"Posted a new song: """"guala"""" http://t.co/TbpOuto6zR http://t.co/y1RpItkIAf",safe,en,hate_speech_offensive,0
&#8220;@SexualMedic: How I feel when I'm throwing trash away... http://t.co/qQ94N1rD5N&#8221; everyday in school.,safe,en,hate_speech_offensive,0
RT @__J_R: Smh nigga is mildly retarded RT @Thotcho: LMFAO RT @JustDoJ: If Griff wasn&#8217;t injuries we&#8217;d legit be 6-1,hateful,en,hate_speech_offensive,2
بداخلاق وزشت,hateful,fa,phicad,2
پدرسگ دروغگو,hateful,fa,phicad,2
Joes parties got hoes but it's always hot as hell,sensitive,en,hate_speech_offensive,1
❤ 😘 😘,safe,fa,phicad,0
😡 😡 🤢,hateful,fa,phicad,2
As always Eli has the stupid hick hayseed look on his face Giants fans kill yaselves it's gonna be a&#8230; http://t.co/JcYZzMKCfu,hateful,en,hate_speech_offensive,2
Can't have a bitch with no future or goals. I love kids but if you're not a parent first I can't deal with you,sensitive,en,hate_speech_offensive,1
ماه عندربهشت 😐,hateful,fa,phicad,2
عشق منی دختر ❤️,safe,fa,phicad,0
@StephyRae7 faggot.,hateful,en,hate_speech_offensive,2
خیلی زیبا و سکسی ,sensitive,fa,phicad,1
RT @rebelGANJA: &#8220;@1BookieG: Idk why I love skinny girls&#8221; they got good pussy &#9994;,sensitive,en,hate_speech_offensive,1
عشق سلطان ❤️ ❤️ ❤️ 😍 😍 یاشا,safe,fa,phicad,0
"AND #NorthKorea called #Barack a monkey. LOL! 
RT! 
*If the shoe fits! 'Cause it sure looks like he married one! 
http://t.co/F0pGDalfaA&#8221;",safe,en,hate_speech_offensive,0
RT @timbvtcher: Old soul? More like young bitch.,sensitive,en,hate_speech_offensive,1
"A light, tender yellow butter cake with a classic boiled icing, traditionally made from burnt sugar http://t.co/XPQKTlTNkH",safe,en,hate_speech_offensive,0
ایول سوشاا ♥️ ♥️,safe,fa,phicad,0
دست به دست کنید یا بمالید به دیوار یا بکنید تو دهن یاسر جبراییلی https://t.co/QadpSKaqMA,safe,fa,phate,0
بهت افتخار میکنم داداشی جونمم ❤️ ❤️ ❤️ 😘 😘 🧿 🧿,safe,fa,phicad,0
خاک تو سرت #زیباکلام https://t.co/KYOnj4bDUm,sensitive,fa,phate,1
واقعا حرف قشنگی زده دمت گرم حسین ماهینی شیر مادرت حلالت باشه,safe,fa,phicad,0
Tanning with my main bitch,sensitive,en,hate_speech_offensive,1
میگم چیزه 🤔 دقت کنین انگار پسره سینه داره,sensitive,fa,phicad,1
She been a hoe all summer but soon as the fall weather hit she'll probably forget about all that and be a good girl again. That's the cycle,sensitive,en,hate_speech_offensive,1
"بله، آقای جبراییلی و معاونشون ادعا دارند که می‌توانند مانع قاپیدن رانت‌ها توسط ثروتمندان و طیف خاص شوند.
اولا چرا رانت بدین از جیب مردم که بعد نگذارید به ثروتمندان و طیف خاص برسه؟
ثانیا چاقو هیچ وقت دسته خودش رو نمی‌بره. https://t.co/oSXVqNn8hg",sensitive,fa,phate,1
@USER تو برنامه اینترنتی جرات نکرد اسم داریوش رو- بگه گفت اون آقا صدا کلفته! اون مایلی-کهن که اینقدرم مسخرش می-کنن و خونه اش ماهواره نداشت خونه همسایه -اش فوتبال میدید وسط برنامه زنده تلویزیونی گفت من داریوش گوش میدم!,hateful,fa,pars_off,2
همیشه عالی هستی رامبد جاندخمل خوشملت چطوره,safe,fa,phicad,0
"میگن زیباکلام رفته زیر توییت بوریس جانسون منشن گذاشته که((هرکه در این بزم مقربتر است ؛ جام بلا بیشترش میدهند)) و جانسون بلاکش کرده!
الان لب پشت بوم ساختمانی که تو تقاطع ظهیر الاسلام و شهید مشکی هست وایساده خودکشی کنه!
کاش یکی بکشش قبل پریدن تا بشه سگ کشی: ))",sensitive,fa,phate,1
خوش سلیقه در لباس 🌹,safe,fa,phicad,0
گورو وارد میشود,hateful,fa,phicad,2
"I done seen a lot of fake shit. That bitch ain't bad, she's basic.",sensitive,en,hate_speech_offensive,1
&amp;when they say him they mean dyke Ron #wcw http://t.co/VV4DUMMe4A,hateful,en,hate_speech_offensive,2
If you got a body count already in 2014 you can't talk about anybody being a hoe,sensitive,en,hate_speech_offensive,1
The boy who shot albino deer http://t.co/D4XajBEIb1,safe,en,hate_speech_offensive,0
تولدت مبارک اقا وحید ان شاءالله همیشه سلامت شاد وسربلند باشی 🌹,safe,fa,phicad,0
یکی از جالبترین جنبه-های فرهنگ مزخرف ایران اینه که میتونی جای مخالف-ها و موافق-های سینه-چاک یک چیز رو از بس شبیه به همن عوض کنی و اتفاقی نیفته. ازون پهلوی بگیر تا همین علینژاد!,sensitive,fa,pars_off,1
من واقعا میخوام سر این همکارم رو ببرم. بچه ها اگه کسی مریض باشه بیاد سر کار تورو هم مریض کنه میشه به رییس چیزی گفت؟ بیشعور گاو خر کرونا گرفته باشم اتیشت میزنم,sensitive,fa,phate,1
به از مدت ها بالاخره 👏,safe,fa,phicad,0
RT @iDntWearCondoms: Stop stalkin your girl social media u bitch ass nigga,hateful,en,hate_speech_offensive,2
یه ملت رو نابود کردید بیشرف ها الان خوب بخوردیش 🖕 اتحاد رمز پیروزی,hateful,fa,phicad,2
@USER @USER جناب علوی عزیز همین اشاره شما به کسانی که فقط از محصوریان یاد میکنند، خود به نظرم نوعی خط کشی ست که من و شما هم میتوانم به نامداری شان و هزینه هایی که داده اند، شهادت دهیم. حرفم این است که چنگال های خود را بسوی حکومت بگیریم، نه همدیگر. همین.,safe,fa,pars_off,0
RT @anilkohli54: @mediacrooks so the ball did roll down the slope &amp; found a natural spot @madhutrehan defending brother &amp; the scumbag @sard&#8230;,safe,en,hate_speech_offensive,0
@USER تو واقعا اسم خودت رو گذاشتی انسان؟! اینترنت یه کشور رو قطع کردین اینقدر ترسو و بدبختین ! واقعا چجوری روت میشه بازم بیای حرف بزنی؟ وقاحت و پرویی شما در تاریخ ثبت میشه و نفرین میلیون ها نفر همیشه پشت شما خواهد بود ! #وزیر_الکی,hateful,fa,pars_off,2
"چند سال پیش سرپایی با #رضا_پهلوی ملاقاتی داشتم در مهمانی سالروز استقلال آذربایجان در سفارت این کشور. او یکی از پخمه‌ترین سیاسیون روزگار بود. سواد سیاسی عموی قهوه‌نشین من از او بیشتر بود. 

#بابک_قاجار",sensitive,fa,phate,1
@USER کمپین بین المللی حقوق بشر  در ایران,safe,fa,pars_off,0
RT @pambesteder: **WOW* according to this tweet by @Tarascan68 Obama must have been an Uncle Tom? http://t.co/Klcsgy9JPW,safe,en,hate_speech_offensive,0
 سلام,safe,fa,phicad,0
چرا انقدر سینه هاش پایینه 🤔,sensitive,fa,phicad,1
oh well. he's a fag anyways.,hateful,en,hate_speech_offensive,2
ماما سوتاا ❤️ ❤️,safe,fa,phicad,0
نون به نرخ روز خورجرعت داری به خانواده مهسا امینی تسلیت بگو,hateful,fa,phicad,2
"بنویسید رئیس جمهوری که شش کلاس سواد دارد تاب دیدن نخبه‌ها را نداشت.
#دانشگاه_شریف
#مهسا_امینی 
#اعتصابات_سراسری",sensitive,fa,phate,1
به افتخار تمام مادران ❤️ ❤️ ❤️ 😍 😍,safe,fa,phicad,0
اینجا قانون جنگل برقرار هست 😭 حکومت دیکتاتوری چ قانونی داره 🤦🏼‍♀️ 🤦🏼‍♀️ 🖤,hateful,fa,phicad,2
Johnny Rebel - Quit your bitchin' nigger!: http://t.co/uCGhrY7zGe,hateful,en,hate_speech_offensive,2
واقعا چه کاری بدی,hateful,fa,phicad,2
❤️ ❤️ روحت شاد یادت گرامی باد ❤️ ❤️,safe,fa,phicad,0
خیلی تلخ و دردناکه خدا به خانواده‌اش صبر بده 😢 😢 🖤 🖤 🌷 🌷,safe,fa,phicad,0
"She has zebra tights in her take home bag, me and my mom are just &#128525;",safe,en,hate_speech_offensive,0
با این توییت تکلیف علی شریفی زارچی هم مشخص شد ؛ آقا حزب باد یا همون چوب دو سر نجس هستن 😏 https://t.co/fi1R2GWAEV,sensitive,fa,phate,1
🙏🏻 🙏🏻 🙏🏻 🙏🏻 🙏🏻 🙏🏻 🙏🏻 🙏🏻 مهسا امینی 🦾 💇🏻‍♀️ ♠️ 🫶 🏻 🤲 🇮🇷 ❤️‍🩹 ❤️‍🔥 💔 🖤 👏 👏 زن زندگی ازادی 🤍 علی کریمی,safe,fa,phicad,0
خودتم بمیری کسکش خفه شو دیگه سیاه کیری https://t.co/eXqmaSZDuS,sensitive,fa,phate,1
"""We're out here, and we're queer!""
"" 2, 4, 6, hut! We like it in our butt!""",hateful,en,hate_speech_offensive,2
@NFLonFOX Random thought - If a bird crossing the path of a FG try were impacted by ball causing it to deflect off course. Re-kick or miss?,safe,en,hate_speech_offensive,0
A squad of dyke cholas fear nobody. They worse than the cartel,safe,en,hate_speech_offensive,0
RT @O_tunj: Dance monkey dance,safe,en,hate_speech_offensive,0
خیلی پستی رامبد کانادایی نون ب نرخ روز خور,hateful,fa,phicad,2
✌ 😍 به امید اون روز,safe,fa,phicad,0
بیناموسا,hateful,fa,phicad,2
"ستاد امر به معروف:
از مواضع خود در مورد حجاب کوتاه نمی‌آییم

 اصن میخوام ببینم الان کسی تخم داره امر به معروف کنه...
#مهسا_امینی 
#اعتصابات_سراسری",sensitive,fa,phate,1
RT @Yankees: Time to bounce in the Bronx. #LetsGoYankees #Walkoff http://t.co/W5ATfRsLKK,safe,en,hate_speech_offensive,0
"Yup, I officially do not like you. You are a needy greedy bitch who needs to have it your way.",sensitive,en,hate_speech_offensive,1
واین خبر پخش شده رضا گلزارم شیطان پرسته,hateful,fa,phicad,2
@USER @USER تو به کس ننت میخندی مادر جنده,hateful,fa,pars_off,2
دهنیه ولایت,hateful,fa,phicad,2
@AmazinMixBeauti don't feel like reading right now I wanna give a sexy coolie girl some lyrics via text message ;-),safe,en,hate_speech_offensive,0
"علیرضا دبیر نشون داد خیلی بیشعورتر و عوضی تر از اون چیزیه که نشون میده
آذربایجان به قهرمان خودش افتخار می کنه

#کشتی #علیرضا_دبیر #پرویز_هادی #توهین",sensitive,fa,phate,1
چقدر زشته قیافه اش,hateful,fa,phicad,2
مگه میشه برنامه های شما عالی نباشه 👏 👏,safe,fa,phicad,0
"Lol I make hoes madd hahhaha, @No_FAKINGG. ;)",sensitive,en,hate_speech_offensive,1
تص 🔥,sensitive,fa,phicad,1
یاد دعوا مدرسه دبستان میوفتم 😂,hateful,fa,phicad,2
الهی کنار هم همیشه شاد باشین ❤,safe,fa,phicad,0
"Getting hit off a cunt thats about 6 foot sideways and a cunt that was in the army lol, i dini care, yous are fuckin laughable",hateful,en,hate_speech_offensive,2
😢 😢 خدا نگذره,hateful,fa,phicad,2
"فقط یک طرفدار جمهوری اسلامی مثل #رعنا_رحیم_پور و #نفیسه_کوهنورد میتونه اینقدر وقیح و خوار باشه که بارها و بارها و بارها سکه یک پول بشه و باز هم به رذالت خودش ادامه بده.
در زندگی واقعیم حتی 1نفر ندیدم از این دو بیوجدان خوشش بیاد و طرفدارشون باشه. حتی 1 نفر https://t.co/37XJBDbVnj",hateful,fa,phate,2
"صبح توییترو باز کردم همه از هولناکی فیلم کشته شدن شیرین علیزاده میگفتن، نمی‌خواستم ببینم، ولی یکی از فیلما با صدا پلی شد، دیدمش،
می‌خواستم برم بیرون، از شدت تپش قلب پروپرانول خوردم و راه افتادم...
ولی پاهام جون نداره واسه قدم برداشتن...
#مهسا_امینی",safe,fa,phate,0
بلاک کنیم این و,hateful,fa,phicad,2
ای جان عالی,safe,fa,phicad,0
😂 توضیح حجاب عالی بود,safe,fa,phicad,0
قهرمان گوزو,hateful,fa,phicad,2
too many grown man out here worryin' about the friendzone....yall got priorities fucked my nig,sensitive,en,hate_speech_offensive,1
